Kode Butir,Domain,Kelompok Standar,Standar,Sub-standar,Pernyataan Butir,Indikator Ketercapaian,Dasar Hukum,Dokumen/Bukti Wajib,Metode Verifikasi,Sumber Data,Tahap Audit,Lapis Audit,Sasaran Auditee,Jenis Jawaban,Bobot,Butir Kritis,Status
AMI8.NAK.T.06,Nonakademik,Tata Kelola SPMI,Sistem Penjaminan Mutu Internal,,Evaluasi pemenuhan standar dilaksanakan oleh pejabat atau dosen yang ditugaskan oleh pimpinan perguruan tinggi.,Seluruh auditor yang bertugas tercantum dalam SK Rektor yang masih berlaku pada periode audit; kualifikasi auditor sesuai kriteria yang ditetapkan; auditor telah mengikuti pelatihan auditor.,Permen 39/2025 Pasal 68 ayat (3),SK Rektor penetapan auditor; sertifikat pelatihan auditor; surat tugas,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Ya/Tidak,5,Ya,Aktif
AMI8.NAK.T.07,Nonakademik,Tata Kelola SPMI,Sistem Penjaminan Mutu Internal,,Tindak lanjut atas temuan audit mutu internal siklus sebelumnya telah diverifikasi tuntas.,"Seluruh permintaan tindakan koreksi siklus sebelumnya berstatus selesai dan terverifikasi, atau memiliki alasan tertulis dan jadwal penyelesaian yang disetujui dalam Rapat Tinjauan Manajemen.",Permen 39/2025 Pasal 68 ayat (1) huruf d dan e,Rekap PTK siklus sebelumnya; berita acara verifikasi; notulen RTM,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Program Studi; UPPS/Fakultas; Universitas,Persentase,5,Ya,Aktif
AMI8.NAK.T.08,Nonakademik,Tata Kelola SPMI,Sistem Penjaminan Mutu Internal,,Bukti yang digunakan dalam evaluasi pemenuhan standar digali melalui prinsip triangulasi dengan berbagai sumber data dan sudut pandang yang saling melengkapi.,Setiap butir bernilai kritis diverifikasi melalui minimal dua metode berbeda; terdapat rekam sumber data pada kertas kerja auditor; data PD Dikti digunakan sebagai rujukan utama.,Permen 39/2025 Pasal 66 ayat (1) dan (2),Kertas kerja auditor; rekam metode verifikasi per butir,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas,Skala 0-4,5,Ya,Aktif
AMI8.NAK.T.09,Nonakademik,Tata Kelola SPMI,Data dan Pelaporan PD Dikti,,Perguruan tinggi bertanggung jawab terhadap kebenaran dan ketepatan data dan informasi pada Pangkalan Data Pendidikan Tinggi.,"Rekonsiliasi data internal terhadap PD Dikti dilakukan minimal satu kali per semester dengan berita acara; selisih data pada aspek mahasiswa, dosen, mata kuliah, dan nilai bernilai nol atau memiliki penjelasan tertulis.",Permen 39/2025 Pasal 111 ayat (4),Berita acara rekonsiliasi; laporan selisih data; bukti perbaikan,Verifikasi PD Dikti; Telaah Dokumen,PD Dikti,Keduanya,Kepatuhan SN Dikti,Universitas; Program Studi,Skala 0-4,5,Ya,Aktif
AMI8.NAK.T.10,Nonakademik,Tata Kelola SPMI,Kesiapan SPME / Akreditasi,,"Seluruh program studi memiliki status terakreditasi pertama, terakreditasi, atau terakreditasi unggul yang masih berlaku sebagai syarat meluluskan mahasiswa dan menerbitkan ijazah.",Tidak terdapat program studi dengan status akreditasi kedaluwarsa atau tidak terakreditasi; masa berlaku setiap status terpantau dengan peringatan minimal 12 bulan sebelum berakhir.,Permen 39/2025 Pasal 70 ayat (4) dan Pasal 77 ayat (3),SK akreditasi seluruh prodi; matriks masa berlaku; jadwal pengajuan reakreditasi,Telaah Dokumen; Verifikasi PD Dikti,PD Dikti,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Program Studi,Ya/Tidak,5,Ya,Aktif
AMI8.NAK.T.11,Nonakademik,Tata Kelola SPMI,Kesiapan SPME / Akreditasi,,Program studi dan perguruan tinggi yang belum mengajukan permohonan akreditasi telah mengajukan sesuai tenggat ketentuan peralihan.,"Bagi prodi/PT yang tidak terakreditasi atau belum mengajukan, permohonan telah diajukan paling lambat satu tahun sejak Permen 39/2025 diundangkan; terdapat bukti pengajuan.",Permen 39/2025 Pasal 114 ayat (1) huruf c dan ayat (2),Bukti pengajuan akreditasi; tangkapan layar sistem BAN-PT/LAM,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Program Studi,Ya/Tidak,5,Ya,Aktif
AMI8.NAK.T.12,Nonakademik,Tata Kelola SPMI,Kesiapan SPME / Akreditasi,,Perguruan tinggi siap menghadapi pemantauan mutu yang dapat dilakukan BAN-PT atau LAM sewaktu-waktu.,Data dan dokumen mutu tersimpan terpusat dan mutakhir; terdapat penanggung jawab penyediaan data; tidak terdapat pengaduan masyarakat yang belum ditangani.,Permen 39/2025 Pasal 83,Repositori dokumen mutu; SK penanggung jawab data; log pengaduan,Telaah Dokumen; Observasi Lapangan; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas,Skala 0-4,3,Tidak,Aktif
AMI8.NAK.T.13,Nonakademik,Tata Kelola SPMI,Kesiapan SPME / Akreditasi,,Perguruan tinggi memantau progres penyesuaian pengelolaan dan penyelenggaraan terhadap Permendiktisaintek 39/2025 sesuai tenggat ketentuan penutup.,Terdapat daftar gap analysis terhadap Permen 39/2025 beserta rencana aksi dan penanggung jawab; progres ditinjau dalam Rapat Tinjauan Manajemen; target penyelesaian tidak melewati dua tahun sejak Permen diundangkan.,Permen 39/2025 Pasal 116 huruf a,Dokumen gap analysis; rencana aksi; notulen RTM,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas,Skala 0-4,5,Tidak,Aktif
AMI8.NAK.T.14,Nonakademik,Tata Kelola SPMI,Kesiapan SPME / Akreditasi,,Perguruan tinggi mengumumkan status akreditasi perguruan tinggi dan program studi kepada masyarakat.,"Status akreditasi seluruh prodi dan perguruan tinggi tercantum di laman resmi beserta nomor SK dan masa berlakunya, dan mutakhir.",Permen 39/2025 Pasal 112 ayat (1),Tangkapan layar laman; daftar status akreditasi,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Ya/Tidak,3,Tidak,Aktif
AMI8.NAK.T.15,Nonakademik,Tata Kelola SPMI,Kesiapan SPME / Akreditasi,,Program studi yang menargetkan status terakreditasi unggul memiliki peta pemenuhan kriteria melampaui SN Dikti.,"Terdapat dokumen target dan peta pemenuhan kriteria melampaui SN Dikti yang ditetapkan BAN-PT/LAM, beserta gap dan rencana pemenuhannya.",Permen 39/2025 Pasal 73/74 ayat (6) dan (8); Pasal 79,Dokumen target akreditasi; peta pemenuhan kriteria unggul,Telaah Dokumen; Wawancara,Dokumen UPPS,Desk Evaluasi,Pelampauan (Unggul),Program Studi; UPPS/Fakultas,Skala 0-4,3,Tidak,Aktif
AMI8.NAK.T.16,Nonakademik,Tata Kelola SPMI,Sistem Penjaminan Mutu Internal,,"Perguruan tinggi menindaklanjuti hasil fasilitasi, verifikasi, dan evaluasi implementasi SPMI oleh Lembaga Layanan Pendidikan Tinggi.",Terdapat rekam hasil verifikasi/evaluasi SPMI oleh LLDIKTI (bila ada) beserta bukti tindak lanjutnya; dokumen SPMI tersedia dalam format yang siap diverifikasi pihak eksternal.,Permen 39/2025 Pasal 69 ayat (3),Surat/laporan hasil verifikasi LLDIKTI; bukti tindak lanjut,Telaah Dokumen; Wawancara,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Skala 0-4,3,Tidak,Aktif
